Month/Year,Gas_CCGT_GWh,Gas_OCGT_GWh,Black_Coal_GWh,Emissions_tCO2e
1/1/2000,85.7,0.02,4992.59,4670416.12
1/2/2000,85.08,0.2,4956.27,4611664.11
1/3/2000,89,0,5093.12,4755551.69
1/4/2000,76.79,0,4687.49,4358153.69
1/5/2000,88.52,0.05,5553.11,5182497.95
1/6/2000,84.24,0.33,5891.44,5478379.84
1/7/2000,88.84,0.01,6067.3,5648743.27
1/8/2000,92.06,0.17,6137.46,5711322.22
1/9/2000,89.88,0,5087.59,4786385.12
1/10/2000,85.08,0,5033.99,4786305.04
1/11/2000,81.64,0.02,5161.79,4834515.53
1/12/2000,83.44,0,5169.49,4819890.16
1/1/2001,85.2,0.46,5303.28,4928699.9
1/2/2001,76.95,0,5004.77,4657071.65
1/3/2001,86.31,0,5252.43,4958461.56
1/4/2001,79.24,0.01,4685.71,4401626.63
1/5/2001,88.23,0,5292.14,4947553.85
1/6/2001,82.45,0,5524.62,5173562.1
1/7/2001,86.9,0,5752.36,5392761.93
1/8/2001,88.26,0,5382.05,5038695.05
1/9/2001,82.49,0,4774.77,4499647.17
1/10/2001,86.71,0,5015.83,4728970.22
1/11/2001,90.84,0,5117.22,4818127.77
1/12/2001,83.6,0,5174.43,4811896.88
1/1/2002,86.25,0,5346.43,4990945.09
1/2/2002,80.42,0,4831.82,4509146.07
1/3/2002,84.72,0,5249.42,4909713.17
1/4/2002,82.71,0,5053.21,4731726.54
1/5/2002,88.84,0,5534.39,5160676.52
1/6/2002,81.97,0,5484.73,5123908.37
1/7/2002,88.99,0,5901.35,5524434.37
1/8/2002,87.7,0,5630.31,5265106.67
1/9/2002,69.8,0,4818.56,4521282.01
1/10/2002,73.62,0,4981.01,4658034.39
1/11/2002,80.05,0,4881.04,4562433.69
1/12/2002,80.21,0,5005.97,4682357.62
1/1/2003,81.97,0,5016.78,4693061.21
1/2/2003,77.37,0,4752.22,4443376.34
1/3/2003,78.73,0,5046.61,4695909.64
1/4/2003,81.9,0,4777.61,4526570.22
1/5/2003,87.78,0,5323.12,5003750.48
1/6/2003,87.91,0,5525.73,5171527.47
1/7/2003,88.44,0,5858.6,5485401.41
1/8/2003,85.03,0,5625.8,5264778.08
1/9/2003,83.26,0,5123.01,4799459.95
1/10/2003,77.53,0,5153.69,4860603.48
1/11/2003,81.94,0,5115.69,4794832.92
1/12/2003,84.05,0,5391.5,5036527.23
1/1/2004,82.76,0,5473.26,5116562.37
1/2/2004,79.8,0,5353.21,4998963.45
1/3/2004,87.97,0,5330.03,4981749.73
1/4/2004,79.33,0,5098.78,4760605.77
1/5/2004,75.53,0,5630.88,5267225.84
1/6/2004,83.22,0,5925.61,5556203.02
1/7/2004,85.68,0,6330.61,5921019.14
1/8/2004,85.59,0,6051.93,5664439.95
1/9/2004,84.93,0,5179.61,4869231.79
1/10/2004,82.68,0,5250.1,4905779.11
1/11/2004,83.81,0,5250.26,4913465.02
1/12/2004,84.88,0,5300.91,4988580.86
1/1/2005,84.65,0,5267.54,4946735.18
1/2/2005,78.85,0,5035.69,4715382.1
1/3/2005,87.69,0,5290.26,4965628.07
1/4/2005,86.02,0,4933.71,4657343.02
1/5/2005,90.24,0,5397.58,5082531.02
1/6/2005,87.16,0,5758.69,5410822.98
1/7/2005,89.28,0,6048.72,5680561.67
1/8/2005,93.19,0,5990.78,5641551.85
1/9/2005,88.91,0,5147.92,4839614.56
1/10/2005,85.91,0,5074.56,4789844.11
1/11/2005,87.26,0,5086.01,4805023.1
1/12/2005,86.83,0,5372.87,5050762.52
1/1/2006,86.11,0,5684.86,5335273.58
1/2/2006,79.98,0,5312.96,5001527.09
1/3/2006,87.26,0,5496.18,5175854.53
1/4/2006,81.32,0,5138.87,4823595.25
1/5/2006,71.79,0,5984.73,5604540.64
1/6/2006,78.88,0,6414.66,6017758.28
1/7/2006,89.17,0,6222.09,5848780.51
1/8/2006,91.62,0,6268.72,5896810.05
1/9/2006,80.91,0,5526.22,5179676.01
1/10/2006,87.82,0,5574.57,5225068
1/11/2006,86.76,0,5545.47,5193254.85
1/12/2006,82.93,0,5522.36,5194194.25
1/1/2007,86.41,0,5998.33,5647506.89
1/2/2007,79.36,0,5508.43,5188743.65
1/3/2007,83.46,0,5781.99,5424083.81
1/4/2007,81.66,0,4987.54,4711389.2
1/5/2007,90.41,0,5758.47,5435868.53
1/6/2007,84.45,0,6042.51,5719082.83
1/7/2007,87.83,0,7060.61,6681994.82
1/8/2007,89.87,0,6497.07,6161340.01
1/9/2007,82.84,0,5701.59,5338192.83
1/10/2007,84.36,0,5850.92,5500367.37
1/11/2007,86.81,0,5792.59,5464246.1
1/12/2007,83.42,0,5792.45,5434757.61
1/1/2008,86.6,0,6119.22,5781747.12
1/2/2008,82.92,0,5594.89,5297403.82
1/3/2008,76.98,0,5783.86,5478794.88
1/4/2008,61.83,0,5707.61,5398411.29
1/5/2008,88.96,0,6140.61,5744293.57
1/6/2008,82.97,0,5968.09,5603412.16
1/7/2008,90.49,0,6744.71,6363217.85
1/8/2008,87.36,0,6693.78,6275767.82
1/9/2008,87.02,0,5678.99,5361366.67
1/10/2008,93.73,2.6,5529.38,5237991.02
1/11/2008,151.16,20.62,5692.82,5423764.07
1/12/2008,141.43,19.33,5583.97,5316848.21
1/1/2009,152.11,44.79,6050.69,5780263.12
1/2/2009,184.91,32.52,5597.62,5353585.37
1/3/2009,142.35,7.96,5866.34,5551320.06
1/4/2009,199.49,37.2,5162.51,4936390.5
1/5/2009,248.31,10.17,5676.66,5443145.7
1/6/2009,253.55,22.36,5922.36,5632554.99
1/7/2009,313.77,54.15,6072.2,5796142.6
1/8/2009,290.06,30.41,5669.93,5425519.39
1/9/2009,269.31,20.28,5102.3,4928467.49
