date,Coal (Black) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Coal (Black) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e
1/1/2000,4992.59,85.7,0.02,4609472.12,60927.62,16.38
1/2/2000,4956.27,85.08,0.2,4551098.2,60388.56,177.35
1/3/2000,5093.12,89,0,4691977.43,63574.26,0
1/4/2000,4687.49,76.79,0,4303200.9,54952.79,0
1/5/2000,5553.11,88.52,0.05,5119107.42,63344.92,45.61
1/6/2000,5891.44,84.24,0.33,5417810.35,60283.06,286.43
1/7/2000,6067.3,88.84,0.01,5585159.19,63572.68,11.4
1/8/2000,6137.46,92.06,0.17,5645292.47,65877.89,151.86
1/9/2000,5087.59,89.88,0,4722065.74,64319.38,0
1/10/2000,5033.99,85.08,0,4725420.55,60884.49,0
1/11/2000,5161.79,81.64,0.02,4776073.83,58421,20.7
1/12/2000,5169.49,83.44,0,4760180.14,59710.02,0
1/1/2001,5303.28,85.2,0.46,4867328.24,60966.99,404.67
1/2/2001,5004.77,76.95,0,4602007.88,55063.77,0
1/3/2001,5252.43,86.31,0,4896700.51,61761.05,0
1/4/2001,4685.71,79.24,0.01,4344915.81,56704.36,6.46
1/5/2001,5292.14,88.23,0,4884414.96,63138.89,0
1/6/2001,5524.62,82.45,0,5114558.75,59003.35,0
1/7/2001,5752.36,86.9,0,5330573.29,62188.64,0
1/8/2001,5382.05,88.26,0,4975539.46,63155.59,0
1/9/2001,4774.77,82.49,0,4440614.9,59032.27,0
1/10/2001,5015.83,86.71,0,4666922.9,62047.32,0
1/11/2001,5117.22,90.84,0,4753125.81,65001.96,0
1/12/2001,5174.43,83.6,0,4752071.94,59824.94,0
1/1/2002,5346.43,86.25,0,4929220.98,61724.11,0
1/2/2002,4831.82,80.42,0,4451601.09,57544.98,0
1/3/2002,5249.42,84.72,0,4849089.76,60623.41,0
1/4/2002,5053.21,82.71,0,4672540.66,59185.88,0
1/5/2002,5534.39,88.84,0,5097101.42,63575.1,0
1/6/2002,5484.73,81.97,0,5065248.8,58659.57,0
